Table: prereq
course prereq 
DET255 DET220 
DET260 DET220 
DET315 DET255 

Table: section_course
courseID sectionID 
DET255 10111 
DET260 10112 
DET315 10113 

Table: college
id name 
COAHS College of Arts, Humanities and Social Sciences 
COSAE College of Science and Engineering 
COBS College of Biblical Studies 
COBA College of Business Administration 
COHABS College of Health and Behavioral Sciences 
COHAHS College of Health and Human Services 
COLAPS College of Leadership and Professional Studies 
CON College of Nursing 
COH College of Honors 
COLAD College of Learning and Development 

Table: student
11018 40 COBA205 MKTG320 Summer 2025 2025-06-01 2025-08-10 MTWR 
11019 45 HSC101 PSYC120 Summer 2025 2025-06-01 2025-08-10 MTWR 
11020 35 MBB101 CS120 Fall 2025 2025-08-20 2025-12-10 MWF 
11021 30 MBB102 CS130 Fall 2025 2025-08-20 2025-12-10 TR 
11022 25 MBB201 CS230 Fall 2025 2025-08-20 2025-12-10 MWF 
11023 20 MBB207 CS330 Fall 2025 2025-08-20 2025-12-10 TR 
11024 35 MBB118 IT220 Fall 2025 2025-08-20 2025-12-10 MWF 
11025 35 MBB120 IT221 Fall 2025 2025-08-20 2025-12-10 TR 
11026 40 MBB125 MATH227 Fall 2025 2025-08-20 2025-12-10 MWF 
11027 45 MBB127 MATH185 Fall 2025 2025-08-20 2025-12-10 MWF 
11028 50 FOS110 BIOL121 Fall 2025 2025-08-20 2025-12-10 TR 
11029 25 FOS111 BIOL122 Fall 2025 2025-08-20 2025-12-10 W 
11030 45 FOS120 CHEM133 Fall 2025 2025-08-20 2025-12-10 MWF 
11031 22 FOS121 CHEM131 Fall 2025 2025-08-20 2025-12-10 T 
11032 45 COBA201 ACCT210 Fall 2025 2025-08-20 2025-12-10 MWF 
11033 40 COBA202 MGMT320 Fall 2025 2025-08-20 2025-12-10 TR 
11034 50 HSC101 PSYC120 Fall 2025 2025-08-20 2025-12-10 MWF 
11035 25 MBB115 DET210 Fall 2025 2025-08-20 2025-12-10 TR 
11036 22 MBB116 DET220 Fall 2025 2025-08-20 2025-12-10 MWF 
11037 30 MBB101 CS115 Fall 2025 2025-12-15 2026-01-30 MTWRF 
11038 35 MBB125 MATH130 Fall 2025 2025-12-15 2026-01-30 MTWRF 
11039 40 HSC105 SOCI111 Fall 2025 2025-12-15 2026-01-30 MTWRF 
11040 35 BSB201 BIBL320 Fall 2025 2025-12-15 2026-01-30 MTWRF 
10001 12 A100 ART105 Spring 2025 2025-01-14 2025-05-10 MWF 
10002 15 A120 ART106 Spring 2025 2025-01-14 2025-05-10 MWF 
10003 25 A200 ART222 Spring 2025 2025-01-14 2025-05-10 TR 
10004 15 A220 DSGN102 Spring 2025 2025-01-14 2025-05-10 TR 
10005 10 A300 DSGN111 Spring 2025 2025-01-14 2025-05-10 TR 
10006 8 A330 DSGN201 Spring 2025 2025-01-14 2025-05-10 MTWRF 
10007 30 A221 DSGN202 Spring 2025 2025-01-14 2025-05-10 MWF 
10008 26 A223 DSGN211 Spring 2025 2025-01-14 2025-05-10 TR 
10009 23 A113 DSGN221 Spring 2025 2025-01-14 2025-05-10 MWF 
10010 10 A118 DSGN222 Spring 2025 2025-01-14 2025-05-10 MTWRF 
10011 19 OSC101 ENGR115 Spring 2025 2025-01-14 2025-05-10 MWF 
10012 30 OSC102 ENGR116 Spring 2026 2025-01-14 2025-05-10 MWF 
10013 21 OSC110 ENGR131 Spring 2027 2025-01-14 2025-05-10 TR 
10014 25 OSC200 ENGR135 Spring 2028 2025-01-14 2025-05-10 MWF 
10015 22 OSC210 ENGR136 Spring 2029 2025-01-14 2025-05-10 TR 
10016 31 OSC115 ENGR210 Spring 2030 2025-01-14 2025-05-10 TR 
10017 35 OSC221 ENGR211 Spring 2031 2025-01-14 2025-05-10 MTWRF 
10018 22 OSC105 ENGR220 Spring 2032 2025-01-14 2025-05-10 MTWRF 
10019 29 OSC111 ENGR222 Spring 2033 2025-01-14 2025-05-10 TR 
10020 31 OSC215 ENGR281 Spring 2034 2025-01-14 2025-05-10 MWF 
10040 40 OSC215 CHEM133 Fall 2025 2025-12-15 2026-01-30 MWF 
10041 40 OSC215 CHEM131 Fall 2025 2025-12-15 2026-01-30 MWF 
10042 40 OSC215 CHEM132 Fall 2025 2025-12-15 2026-01-30 MWF 
10043 40 OSC215 CHEM134 Fall 2025 2025-12-15 2026-01-30 MWF 
10044 40 OSC215 CHEM221 Fall 2025 2025-12-15 2026-01-30 MWF 
10045 40 OSC215 CHEM223 Fall 2025 2025-12-15 2026-01-30 MWF 
10046 40 OSC215 CHEM322 Fall 2025 2025-12-15 2026-01-30 MWF 
10047 40 OSC215 CHEM324 Fall 2025 2025-12-15 2026-01-30 MWF 
10048 40 OSC215 CHEM423 Fall 2025 2025-12-15 2026-01-30 MWF 
10049 40 OSC215 CHEM453 Fall 2025 2025-12-15 2026-01-30 MWF 
10050 40 OSC215 PSYC120 Fall 2025 2025-12-15 2026-01-30 MWF 
10051 40 OSC215 PSYC232 Fall 2025 2025-12-15 2026-01-30 MWF 
10052 40 OSC215 PSYC233 Fall 2025 2025-12-15 2026-01-30 MWF 
10053 40 OSC215 PSYC241 Fall 2025 2025-12-15 2026-01-30 MWF 
10054 40 OSC215 PSYC351 Fall 2025 2025-12-15 2026-01-30 MWF 
10055 40 OSC215 PSYC368 Fall 2025 2025-12-15 2026-01-30 MWF 
10056 40 OSC215 PSYC370 Fall 2025 2025-12-15 2026-01-30 MWF 
10057 40 OSC215 PSYC382 Fall 2025 2025-12-15 2026-01-30 MWF 
10058 40 OSC215 PSYC451 Fall 2025 2025-12-15 2026-01-30 MWF 
10059 40 OSC215 PSYC485 Fall 2025 2025-12-15 2026-01-30 MWF 
10060 30 MBB110 CRIM205 Spring 2025 2025-01-13 2025-05-23 MW 
10061 35 MBB120 CRIM250 Spring 2025 2025-01-13 2025-05-23 TR 
10062 40 MBB130 CRIM320 Spring 2025 2025-01-13 2025-05-23 MWF 
10063 25 MBB140 CRIM330 Spring 2025 2025-01-13 2025-05-23 MW 
10064 30 MBB150 CRIM365 Spring 2025 2025-01-13 2025-05-23 TR 
10065 30 MBB160 CRIM375 Spring 2025 2025-01-13 2025-05-23 MWF 
10066 25 MBB170 CRIM410 Spring 2025 2025-01-13 2025-05-23 TR 
10067 40 MBB180 GOVT225 Spring 2025 2025-01-13 2025-05-23 MW 
10068 35 MBB190 GOVT315 Spring 2025 2025-01-13 2025-05-23 TR 
10069 30 MBB200 GOVT384 Spring 2025 2025-01-13 2025-05-23 MWF 
12001 MBB102 30 CS120 Spring 2025 2025-01-14 2025-05-10 MWF 
12002 MBB103 35 CS130 Spring 2025 2025-01-14 2025-05-10 TR 
12003 MBB201 25 CS230 Spring 2025 2025-01-14 2025-05-10 MWF 
12004 MBB204 25 CS315 Spring 2025 2025-01-14 2025-05-10 TR 
12005 MBB205 30 CS374 Spring 2025 2025-01-14 2025-05-10 MWF 
12006 MBB102 25 CS467 Spring 2025 2025-01-14 2025-05-10 TR 
12007 MBB103 25 CS330 Spring 2025 2025-01-14 2025-05-10 MWF 
12008 MBB204 20 CS352 Spring 2025 2025-01-14 2025-05-10 TR 
12009 MBB205 25 CS332 Spring 2025 2025-01-14 2025-05-10 MWF 
12010 MBB206 25 CS375 Spring 2025 2025-01-14 2025-05-10 TR 
10120 Don Morris110 15 JMC224 Spring 2025 2025-01-14 2025-05-10 MWF 
10121 Don Morris118 20 JMC233 Spring 2025 2025-01-14 2025-05-10 TR 
10122 Don Morris210 15 ENGL321 Spring 2025 2025-01-14 2025-05-10 TR 
10123 Don Morris310 12 JMC495 Spring 2025 2025-01-14 2025-05-10 MWF 
10124 Don Morris111 25 JMC421 Spring 2025 2025-01-14 2025-05-10 TR 
10125 Don Morris219 30 JMC165 Spring 2025 2025-01-14 2025-05-10 MWF 
10126 Don Morris100 12 BIBL101 Spring 2025 2025-01-14 2025-05-10 MWF 
10127 Don Morris245 15 BIBT480 Spring 2025 2025-01-14 2025-05-10 TR 
10128 Don Morris320 12 JMC224 Spring 2025 2025-01-14 2025-05-10 MWF 
10129 Don Morris300 25 JMC224 Spring 2025 2025-01-14 2025-05-10 TR 

Table: student_section
studentID sectionID grade 
1 10001 null 
90 12001 null 
90 12014 null 
91 12001 null 
91 12016 null 
92 12002 null 
92 12014 null 
93 12001 null 
93 12017 null 
94 12002 null 
94 12016 null 
95 12003 null 
95 12014 null 
96 12001 null 
96 12017 null 
97 12002 null 
97 12015 null 
98 12003 null 
98 12016 null 
99 12001 null 
99 12014 null 
1 10002 null 
2 10001 null 
2 10002 null 
2 10003 null 
3 10001 null 
3 10005 null 
3 10004 null 
4 10006 null 
4 10007 null 
4 10008 null 
5 10009 null 
5 10010 null 
6 10002 null 
6 10005 null 
6 10008 null 
7 10001 null 
7 10004 null 
7 10009 null 
8 10003 null 
8 10006 null 
8 10010 null 
9 10001 null 
9 10007 null 
9 10005 null 
10 10002 null 
10 10004 null 
10 10006 null 
12 10011 null 
12 10012 null 
13 10013 null 
13 10014 null 
14 10015 null 
14 10016 null 
14 10017 null 
15 10018 null 
15 10019 null 
15 10020 null 
16 10015 null 
16 10016 null 
17 10017 null 
17 10018 null 
18 10011 null 
18 10019 null 
18 10013 null 
19 10012 null 
19 10015 null 
20 10013 null 
20 10015 null 
20 10019 null 
20 10020 null 
60 10060 null 
61 10061 null 
61 10062 null 
62 10063 null 
62 10064 null 
63 10065 null 
63 10066 null 
63 10067 null 
64 10068 null 
64 10069 null 
64 10060 null 
65 10061 null 
65 10062 null 
65 10063 null 

Table: major_class
majorID classID 
CS CS130 
DET DET130 
ITC ITC320 

Table: and_prereq
course prereq 
CS332 CS130 
CS332 MATH185 
CHEM 133 MATH 124 
CHEM 131 MATH 124 
CHEM 132 CHEM 133 
CHEM 134 CHEM 133 
CHEM 221 CHEM 134 
CHEM 223 CHEM 134 
CHEM 322 CHEM 223 
CHEM 324 CHEM 223 
CHEM 453 CHEM 324 
CHEM 454 CHEM 453 
CHEM 456 CHEM 453 
CHEM 463 CHEM 453 
BIOL 123 BIOL 121 
BIOL 124 BIOL 122 
BIOL 312 BIOL 123 
BIOL 312 BIOL 121 
CHEM 333 CHEM 324 
CHEM 334 CHEM 333 
CHEM 335 CHEM 322 
CHEM 356 CHEM 332 
CHEM 443 CHEM 324 
MATH 185 MATH 124 
MATH 186 MATH 185 
CHEM 286 MATH 186 
PHYS 220 MATH 185 
PHYS 221 PHYS 220 
PHYS 222 PHYS 220 
PHYS 223 PHYS 222 
FIN310 ACCT210 
FIN310 MATH130 
IS222 MATH130 
IT263 IS222 
MKTG419 MKTG320 
ACCT302 ACCT210 
ACCT304 ACCT210 
ACCT310 ACCT210 
ACCT311 ACCT310 
ACCT324 ACCT210 
ACCT324 BUSA120 
ACCT405 ACCT311 
ACCT410 ACCT311 
BLAW461 ACCT310 
DSGN201 DSGN111 
DSGN202 DSGN201 
DSGN211 DSGN111 
DSGN211 ART105 
DSGN301 DSGN202 
DSGN302 DSGN301 
DSGN401 DSGN302 
DSGN401 DSGN351 
DSGN402 DSGN401 
CHEM133 CHEM131 
CHEM133 MATH109 
ENGR115 MATH124 
ENGR116 MATH124 
ENGR135 MATH185 
ENGR220 PHYS220 
ENGR220 PHYS221 
ENGR220 MATH186 
ENGR222 ENGR220 
ENGR222 MATH286 
ENGR281 PHYS222 
ENGR281 MATH186 
ENGR306 ENGL112 
ENGR333 ENGR220 
ENGR350 MATH131 
ENGR390 ENGR342 
ENGR430 ENGR390 
ENGR432 ENGR430 
MATH185 MATH124 
MATH186 MATh185 
MATH286 MATH186 
MATH361 MATH186 
MATH187 MATH131 
MATH341 MATH186 
MATH341 CS120 
MATH325 MATH186 
MATH463 MATH286 
MATH463 MATH361 
PSYC351 PSYC368 
PSYC451 PSYC351 
PSYC485 PSYC382 
PSYC305 ENGL111 
PSYC343 PSYC368 
PSYC471 PSYC241 
CRIM250 CRIM205 
CRIM320 CRIM205 
CRIM330 CRIM205 
CRIM365 CRIM205 
CRIM420 CRIM205 
CRIM430 CRIM205 
CRIM455 CRIM205 
SPAN221 SPAN112 
SPAN222 SPAN221 
GOVT487 GOVT227 
BIBT332 BIBL211 
BIBT342 BIBL211 
BIBT439 BIBL211 
BGRK222 BGRK221 
BGRK331 BGRK222 
BGRK332 BGRK331 
FREN221 FREN112 
FREN222 FREN221  
GER221 GER112  
GER222 GER221 
BMIS420 BIBL211 
BMIS371 BIBL211 
BIBH380 BIBL211 
BIBH383 BIBL211 
BIBH432 BIBL211 
BIBM493 BIBL320 
BIBT379 BIBL211 
BIBT491 BIBL211 
BIBL320 BIBL211 
BIBL365 BIBL211 
BIBL367 BIBL211 
BIBL451 BIBL211 
BIBL452 BIBL211 
BIBL453 BIBL211 
BIBL454 BIBL211 
BIBL458 BIBL211 
BIBL460 BIBL211 
BIBL461 BIBL211 
BGRK441 BGRK 332 
BGRK442 BGRK 441 
BIBL466 BIBL211 
BHEB472 BIBL211 
BIBM391 BIBL211 
BIBM429 BIBM391 
BIBM491 BIBM429 
BMIS345 BIBL211 
BMIS241 BIBL211 
SMIS420 BIBM211 
CS120 MATH109 
CS130 CS120 
CS374 CS230 
IT310 IT221 
CS341 MATH186 
CS341 CS120 
CS352 CS230 
CS356 CS220 
CS356 ENGR210 
CS365 CS332 
CS365 MATH227 
CS467 CS332 
CS467 MATH227 
CS375 CS374 
DET260 CS116 
DET260 CS118 
DET260 CS130 
DET260 DET220 
CS330 ITC125 
IT325 CS116 
IS432 IS222 
CS315 IT220 
CS136 DET260 
ENGR442 CS120 
IS324 ISO324 
IS330 IS222 
IS410 IS324 
IS442 CS115 
IS442 IS222 
IS442 IS432 
DET255 DET220 
DET315 DET255 
DET320 DET220 
DET330 DET220 
DET350 DET210 
DET360 DET260 
DET365 DET260 
DET370 DET210 
ART317 ART105 
ART317 ART112 
ART112 ART111 
ART318 ART105 
ART318 ART317 
ENGL107 ENGL106 
ENGL107 ENGL006 
JMC166 JMC165 
JMC342 JMC166 
JMC351 JMC342 
JMC488 JMC224 
JMC224 JMC100 
JMC233 JMC166 
JMC261 JMC166 
JMC265 JMC166 
JMC321 JMC224 
JMC361 JMC265 
JMC421 JMC261 
JMC421 JMC266 
BIBT342 BIBL101 
BIBT342 BIBL102 
BIBT342 BIBL103 
BIBT379 BIBL101 
BIBT379 BIBL102 
BIBM401 BIBL101 
BIBM401 BIBL102 
BIBM401 BIBL211 
BIBM403 BIBL101 
BIBM403 BIBL102 
BIBM403 BIBL211 
BIBM480 BIBL101 
BIBM480 BIBL102 
BIBM480 BIBL211 
JMC338 JMC166 
JMC338 JMC224 
JMC352 JMC351 
JMC365 JMC265 
JMC390 JMC342 
JMC390 JMC348 
JMC405 JMC351 
JMC405 JMC361 

Table: or_prereq
course prereq 
PSYC 370 PSYC 120 
PSYC 370 SOCI 111 
PSYC 374 SPED 371 
PSYC 374 PSYC 232 
FIN310 ECON260 
FIN310 ECON261 
MATH130 MATH109 
MATH130 MATH120 
MATH130 MATH123 
MATH131 MATH109 
MATH131 MATW109 
MATH131 MATH130 
BIBP380 BIBL102 
BIBP380 BIBL103 
BIBP478 BIBL102 
BIBP486 BIBL102 
BIBP486 BIBL103 
BIBP487 BIBL102 
BIBP487 BIBL103 
BIBP489 BIBL102 
BIBP489 BIBL103 
BIBL365 BGRK 221 
BIBL365 BGRK 222 
CS120 MATW109 
CS120 MATH124 
CS120 MATH185 
CS120 CS115 
CS230 CS118 
CS230 CS130 
IT220 CS115 
IT220 CS117 
IT220 CS120 
IT221 CS115 
IT117 CS117 
IT221 CS120 
MATH187 MATH131 
MATH187 MATH185 
MATH227 CS120 
MATH227 MATH185 
MATH337 MATH131 
MATH337 MATH185 
DET260 CS116 
DET260 CS118 
DET260 CS130 
DET260 DET220 
CS330 MKTG320 
CS330 ART351 
IT325 CS116 
IT325 CS118 
IT325 CS130 
IS432 IS337 
IS432 PSYC311 
IS432 SOCI416 
IS432 MKTG432 
CS315 CS116 
CS315 CS118 
CS315 CS130 
IS405 IS324 
IT225 CS116 
IT225 CS120 
DET410 DET350 
DET410 ITC499 
JMC495 JMC347 
JMC495 JMC348 
JMC495 JMC324 
JMC495 JMC265 
BIBL342 BIBL102 
BIBL342 BIBL103 
BIBL379 BIBL102 
BIBL379 BIBL103 
BIBM401 BIBL102 
BIBM401 BIBL103 
BIBM403 BIBL102 
BIBM403 BIBL103 
BIBM480 BIBL102 
BIBM480 BIBL103 
JMC355 JMC261 
JMC355 JMC265 
JMC465 JMC261 
JMC465 JMC338 

Table: coreq
course prereq 
ENGR442 ENGR423 

Table: student_major
studentID major 
80 CS 
81 ART 
82 BBA 
83 CJ 
84 BM 
85 EE 
86 PSYC 
87 BIO 
88 PSYC 
89 CS 
151 CS 
1 ART 
2 ART 
3 ART 
4 ART 
5 ART 
6 ART 
7 ART 
8 ART 
9 ART 
10 ART 
11 EE 
12 EE 
13 EE 
14 EE 
15 EE 
16 EE 
17 EE 
18 EE 
19 EE 
20 EE 

Table: concentration
id major title reqtext 
SE CS Software Engineering Minimum grade of C in CS 120, CS 130, CS 230; IT 220, IT 221; MATH 227 
CT CS Computing Theory Minimum grade of C in CS 120, CS 130, CS 230; IT 220, IT 221; MATH 227 
GDP CS Game Development Minimum grade of C in CS 120, CS 130, CS 230; IT 220, IT 221; MATH 227 
ANRP ACCT Analytics and Reporting Minimum grade of C in ACCT 210, ACCT 220, ACCT 230, ACCT 240, ACCT 250 
ACCG ACCT General Accounting Minimum grade of C in ACCT 210, ACCT 220, ACCT 230, ACCT 240, ACCT 250 
BLAN BBMN Biblical Languages Minimum grade of C in all 300-level or above Bible classes. 
BIBL BBMN Biblical Text Minimum grade of C in all 300-level or above Bible classes. 
BIBM BBMN Christian Ministry Minimum grade of C in all 300-level or above Bible classes. 
BMIS BBMN Missions Minimum grade of C in all 300-level or above Bible classes. 
BANL MGMT Analytics Minimum of C in each business and emphases course. 
BABL MGMT Business Leadership Minimum of C in each business and emphases course. 
EN MGMT Entrepreneurship Minimum of C in each business and emphases course. 
HR MGMT Human Resources Management Minimum of C in each business and emphases course. 
BIND MGMT Interdisciplinary Minimum of C in each business and emphases course. 
BOPR MGMT Operations Minimum of C in each business and emphases course. 
BCHC BCH ACS Minimum GPA of 2.0 
BCBS BCH Biomedical Science Minimum GPA of 2.0 
BCHV BCH Pre-Vet Minimum GPA of 2.0 
VP DET Virtual Production Minimum grade of C in CS117, DET210, DET260, and DET410. Two portfolio reviews. 
GD DET Game Development Minimum grade of C in CS117, DET210, DET260, and DET410. Two portfolio reviews. 
IART INAD Art and Design Minimum grade of C in art and design courses. 
IBUS INAD Business Minimum grade of C in art and design courses. 
FLM JMM Film Minimum GPA for graduation of 2.25. 
MM JMM Media Ministry Minimum GPA for graduation of 2.25. 
ISAS IS Accounting Systems Minimum grade of C in each business course. 
ISAN IS Analytics Minimum grade of C in each business course. 
ISAD IS Application Development Minimum grade of C in each business course. 
